code,name,link
130923000000,东光县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/09/130923.html
130924000000,海兴县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/09/130924.html
130925000000,盐山县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/09/130925.html
130926000000,肃宁县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/09/130926.html
130927000000,南皮县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/09/130927.html
130928000000,吴桥县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/09/130928.html
130929000000,献县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/09/130929.html
130930000000,孟村回族自治县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/09/130930.html
130981000000,泊头市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/09/130981.html
130982000000,任丘市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/09/130982.html
130983000000,黄骅市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/09/130983.html
130984000000,河间市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/09/130984.html
140302000000,城区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/03/140302.html
140303000000,矿区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/03/140303.html
140311000000,郊区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/03/140311.html
140321000000,平定县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/03/140321.html
140322000000,盂县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/03/140322.html
140202000000,城区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/02/140202.html
140203000000,矿区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/02/140203.html
140211000000,南郊区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/02/140211.html
140212000000,新荣区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/02/140212.html
140221000000,阳高县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/02/140221.html
140222000000,天镇县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/02/140222.html
140223000000,广灵县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/02/140223.html
140224000000,灵丘县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/02/140224.html
140225000000,浑源县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/02/140225.html
140226000000,左云县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/02/140226.html
140227000000,大同县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/02/140227.html
140402000000,城区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/04/140402.html
140411000000,郊区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/04/140411.html
140421000000,长治县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/04/140421.html
140423000000,襄垣县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/04/140423.html
140424000000,屯留县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/04/140424.html
140425000000,平顺县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/14/04/140425.html
